
"KS402EW - Tenure"
"ONS Crown Copyright Reserved [from Nomis on 25 January 2017]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 super output area - lower layer","mnemonic","All households","Owned","Shared ownership (part owned and part rented)","Social rented","Private rented","Living rent free"
"Bromley 009B","E01000744",682,172,4,422,76,8
"Bromley 009C","E01000796",638,105,4,475,50,4
"Bromley 009D","E01000798",693,160,1,393,135,4
"Bromley 009E","E01000800",780,308,19,231,218,4
"Bromley 009F","E01000806",768,188,10,307,256,7
"Bromley 010A","E01000693",570,444,0,47,61,18
"Bromley 010B","E01000698",439,420,0,6,8,5
"Bromley 010C","E01000736",618,394,6,188,22,8
"Bromley 010D","E01000737",580,342,4,186,39,9
"Bromley 011A","E01000672",650,506,8,22,112,2
"Bromley 011B","E01000673",630,498,1,51,78,2
"Bromley 011C","E01000716",702,525,2,43,128,4
"Bromley 011D","E01000717",889,578,4,51,251,5
"Bromley 011E","E01000828",766,538,1,102,115,10
"Bromley 012A","E01000712",862,576,1,21,251,13
"Bromley 012B","E01000713",885,603,0,38,236,8
"Bromley 012C","E01000715",885,627,3,47,193,15
"Bromley 012D","E01000770",691,529,2,6,133,21
"Bromley 012E","E01000772",734,596,3,31,98,6
"Bromley 013A","E01000700",666,429,34,117,80,6
"Bromley 013B","E01000702",572,413,1,46,107,5
"Bromley 013C","E01000703",694,423,13,67,186,5
"Bromley 013D","E01000706",591,403,1,104,79,4
"Bromley 013E","E01000797",679,479,2,95,91,12
"Bromley 014A","E01000729",824,253,34,493,42,2
"Bromley 014B","E01000730",649,231,13,355,45,5
"Bromley 014C","E01000735",562,305,8,206,38,5
"Bromley 014D","E01000738",632,477,2,95,54,4
"Bromley 014E","E01000739",634,251,6,336,32,9
"Bromley 015A","E01000699",648,333,4,136,171,4
"Bromley 015B","E01000701",599,430,12,51,104,2
"Bromley 015C","E01000704",593,467,10,30,79,7
"Bromley 015D","E01000705",565,345,2,106,104,8
"Bromley 015E","E01000801",650,398,6,128,117,1
"Bromley 016A","E01000646",728,493,3,35,187,10
"Bromley 016B","E01000647",635,508,1,31,89,6
"Bromley 016C","E01000648",646,522,4,21,94,5
"Bromley 016D","E01000653",608,498,1,63,42,4
"Bromley 016E","E01000678",666,485,15,45,115,6
"Bromley 018A","E01000670",864,526,1,84,244,9
"Bromley 018B","E01000675",690,434,2,25,219,10
"Bromley 018C","E01000677",800,528,5,32,229,6
"Bromley 018D","E01000762",743,597,6,16,119,5
"Bromley 018E","E01000829",734,523,0,44,158,9
"Bromley 019A","E01000719",853,465,59,212,109,8
"Bromley 019B","E01000720",668,349,5,219,90,5
"Bromley 019C","E01000721",524,175,11,301,33,4
"Bromley 019D","E01000724",674,257,1,381,32,3
"Bromley 019E","E01000728",657,454,2,115,74,12
"Bromley 020A","E01000651",631,488,2,71,63,7
"Bromley 020B","E01000668",691,487,0,55,141,8
"Bromley 020C","E01000669",740,566,6,45,118,5
"Bromley 020D","E01000671",784,492,28,97,159,8
"Bromley 020E","E01000679",662,538,7,19,93,5
"Bromley 021A","E01000826",563,539,0,0,21,3
"Bromley 021B","E01000827",790,604,1,36,142,7
"Bromley 021C","E01000830",544,524,1,2,13,4
"Bromley 021D","E01000831",789,586,3,77,118,5
"Bromley 021E","E01000833",497,472,1,3,18,3
"Bromley 022A","E01000650",750,562,1,127,54,6
"Bromley 022B","E01000652",659,595,2,20,36,6
"Bromley 022C","E01000807",595,483,1,17,89,5
"Bromley 022D","E01000809",629,585,0,9,26,9
"Bromley 023A","E01000722",704,492,7,87,111,7
"Bromley 023B","E01000725",775,405,6,233,122,9
"Bromley 023C","E01000731",532,352,6,141,29,4
"Bromley 023D","E01000732",587,472,1,83,25,6
"Bromley 023E","E01000733",651,457,18,137,36,3
"Bromley 024A","E01000769",454,362,0,69,20,3
"Bromley 024B","E01000773",605,470,1,89,40,5
"Bromley 024C","E01000775",867,710,4,38,105,10
"Bromley 024D","E01000777",565,498,1,8,54,4
"Bromley 024E","E01000778",618,496,2,83,35,2
"Bromley 025A","E01000808",625,555,0,36,25,9
"Bromley 025B","E01000810",599,569,0,1,26,3
"Bromley 025C","E01000811",571,478,1,5,84,3
"Bromley 025D","E01000813",637,594,1,5,27,10
"Bromley 025E","E01000815",562,542,2,2,13,3
"Bromley 026A","E01000661",671,228,3,381,49,10
"Bromley 026B","E01000662",680,490,20,128,39,3
"Bromley 026C","E01000663",660,437,1,184,26,12
"Bromley 026D","E01000664",612,450,1,128,28,5
"Bromley 027A","E01000763",523,499,1,3,18,2
"Bromley 027B","E01000764",633,526,1,84,22,0
"Bromley 027C","E01000766",645,628,0,3,11,3
"Bromley 027D","E01000767",598,567,0,3,25,3
"Bromley 027E","E01000834",461,428,2,5,22,4
"Bromley 028A","E01000727",687,523,4,78,77,5
"Bromley 028B","E01000734",507,400,2,53,51,1
"Bromley 028C","E01000790",872,521,23,95,225,8
"Bromley 028D","E01000812",663,515,2,71,69,6
"Bromley 028E","E01000814",564,544,1,0,18,1
"Bromley 029A","E01000723",561,517,2,12,24,6
"Bromley 029B","E01000726",590,489,9,15,72,5
"Bromley 029C","E01000787",667,508,6,99,52,2
"Bromley 029D","E01000788",618,461,18,89,45,5
"Bromley 029E","E01000791",621,537,3,47,29,5
"Bromley 030A","E01000832",572,514,1,4,39,14
"Bromley 030B","E01000835",648,478,1,20,141,8
"Bromley 030C","E01000836",500,471,2,4,20,3
"Bromley 030D","E01000837",647,519,2,50,63,13
"Bromley 030E","E01000838",548,507,1,8,28,4
"Bromley 030F","E01000839",550,494,14,4,35,3
"Bromley 030G","E01000840",685,525,0,144,12,4
"Bromley 030H","E01000841",606,550,0,8,42,6
"Bromley 031A","E01000753",750,685,1,6,48,10
"Bromley 031B","E01000754",743,640,3,12,83,5
"Bromley 031C","E01000755",615,567,0,7,38,3
"Bromley 031D","E01000757",601,578,1,3,14,5
"Bromley 031E","E01000758",591,520,2,36,26,7
"Bromley 032A","E01000786",627,576,0,27,20,4
"Bromley 032B","E01000789",657,149,13,448,41,6
"Bromley 032C","E01000792",483,382,8,61,31,1
"Bromley 032D","E01000793",643,607,1,10,23,2
"Bromley 032E","E01000795",542,401,1,116,22,2
"Bromley 033A","E01000665",757,601,15,42,93,6
"Bromley 033B","E01000666",776,691,0,5,73,7
"Bromley 033C","E01000667",622,593,0,7,20,2
"Bromley 033D","E01000756",594,537,0,12,36,9
"Bromley 034A","E01000759",549,512,1,6,26,4
"Bromley 034B","E01000760",550,466,0,14,63,7
"Bromley 034C","E01000761",577,548,0,2,24,3
"Bromley 034D","E01000765",679,557,2,19,94,7
"Bromley 034E","E01000768",613,493,1,39,72,8
"Bromley 035A","E01000681",654,624,0,3,24,3
"Bromley 035B","E01000682",642,600,0,2,36,4
"Bromley 035C","E01000683",705,563,5,53,80,4
"Bromley 035D","E01000684",757,688,2,9,52,6
"Bromley 035E","E01000794",611,577,1,9,20,4
"Bromley 036A","E01000749",639,550,0,47,36,6
"Bromley 036B","E01000750",665,278,2,358,21,6
"Bromley 036C","E01000751",807,665,5,51,80,6
"Bromley 036D","E01000752",778,647,1,57,67,6
"Bromley 037A","E01000680",646,566,2,16,55,7
"Bromley 037B","E01000685",618,479,5,83,49,2
"Bromley 037C","E01000686",648,513,17,78,34,6
"Bromley 037D","E01000687",656,576,2,13,62,3
"Bromley 037E","E01000688",504,463,0,13,23,5
"Bromley 039A","E01000654",486,449,4,5,26,2
"Bromley 039B","E01000655",494,438,4,18,29,5
"Bromley 039C","E01000656",517,489,2,6,16,4
"Bromley 039D","E01000657",674,500,17,93,57,7
"Bromley 039E","E01000659",520,488,0,8,23,1
"Bromley 040A","E01000816",592,496,4,44,46,2
"Bromley 040B","E01000818",568,503,1,33,28,3
"Bromley 040C","E01000819",740,355,20,277,79,9
"Bromley 040D","E01032562",623,301,1,267,47,7
"Bromley 040E","E01032563",568,502,2,12,47,5
"Bromley 041A","E01000707",536,477,2,9,48,0
"Bromley 041B","E01000708",650,503,9,46,84,8
"Bromley 041C","E01000771",620,551,1,12,47,9
"Bromley 041D","E01000774",581,485,4,21,62,9
"Bromley 041E","E01032568",647,361,9,193,80,4
"Bromley 042A","E01000658",550,508,2,13,22,5
"Bromley 042B","E01000747",773,580,14,55,118,6
"Bromley 042C","E01000748",670,596,3,12,41,18
"Bromley 042D","E01032570",669,566,5,37,51,10
"Croydon 001A","E01001137",875,478,12,144,224,17
"Croydon 001B","E01001138",774,415,21,145,186,7
"Croydon 001C","E01001156",721,341,4,248,121,7
"Croydon 001D","E01001162",767,337,14,260,154,2
"Croydon 001E","E01001164",962,369,1,205,380,7
"Croydon 002A","E01001084",665,524,3,24,101,13
"Croydon 002B","E01001157",615,441,0,80,89,5
"Croydon 002C","E01001159",741,495,5,67,170,4
"Croydon 002D","E01001160",627,490,7,20,96,14
"Croydon 002E","E01001163",798,518,36,73,163,8
"Croydon 003A","E01001083",536,465,1,10,57,3
"Croydon 003B","E01001086",603,471,1,28,98,5
"Croydon 003C","E01001087",848,338,37,144,313,16
"Croydon 003D","E01001161",566,222,5,264,72,3
"Croydon 004A","E01001085",612,350,4,91,159,8
"Croydon 004B","E01001088",592,386,4,109,91,2
"Croydon 004C","E01001089",715,308,1,188,206,12
"Croydon 004D","E01001090",922,362,38,231,283,8
"Croydon 004E","E01001091",562,417,1,12,120,12
"Croydon 005A","E01001147",620,282,2,170,158,8
"Croydon 005B","E01001148",673,424,13,81,149,6
"Croydon 005C","E01001151",671,276,1,234,150,10
"Croydon 005D","E01001152",674,294,2,111,257,10
"Croydon 005E","E01001158",700,375,15,122,178,10
"Croydon 006A","E01001146",607,411,0,63,124,9
"Croydon 006B","E01001149",619,427,4,49,129,10
"Croydon 006C","E01001150",620,453,8,32,123,4
"Croydon 006D","E01001153",591,394,2,70,117,8
"Croydon 006E","E01001154",735,371,4,137,207,16
"Croydon 007A","E01001136",927,322,12,125,449,19
"Croydon 007B","E01001139",694,472,6,32,183,1
"Croydon 007C","E01001140",773,495,1,73,199,5
"Croydon 007D","E01001142",620,432,4,55,113,16
"Croydon 007E","E01001144",797,315,5,188,284,5
"Croydon 008A","E01001141",568,209,17,183,155,4
"Croydon 008B","E01001143",848,375,2,259,197,15
"Croydon 008C","E01001145",848,192,1,397,244,14
"Croydon 008D","E01001191",823,326,5,111,371,10
"Croydon 008E","E01001192",727,335,1,174,208,9
"Croydon 009A","E01000994",536,378,1,25,120,12
"Croydon 009B","E01000995",597,355,5,29,201,7
"Croydon 009C","E01000996",443,331,6,6,97,3
"Croydon 009D","E01000997",471,320,1,32,114,4
"Croydon 009E","E01000999",436,323,2,22,83,6
"Croydon 009F","E01001002",498,307,6,49,132,4
"Croydon 010A","E01000998",629,271,9,108,237,4
"Croydon 010B","E01001000",454,256,3,31,161,3
"Croydon 010C","E01001003",608,264,37,131,171,5
"Croydon 010D","E01001111",610,388,2,72,143,5
"Croydon 010E","E01001155",761,221,20,345,168,7
"Croydon 011A","E01001174",523,366,2,40,113,2
"Croydon 011B","E01001175",527,328,2,43,147,7
"Croydon 011C","E01001176",628,337,33,96,152,10
"Croydon 011D","E01001182",462,294,1,11,136,20
"Croydon 011E","E01001183",550,300,1,59,183,7
"Croydon 011F","E01001184",456,349,0,17,84,6
"Croydon 013A","E01001001",493,259,4,91,130,9
"Croydon 013B","E01001109",845,313,17,271,229,15
"Croydon 013C","E01001112",763,268,29,254,202,10
"Croydon 013D","E01001113",795,361,3,120,299,12
"Croydon 013E","E01001114",585,191,7,241,136,10
"Croydon 013F","E01001116",528,303,1,72,140,12
"Croydon 014A","E01000992",723,327,6,309,74,7
"Croydon 014B","E01001185",717,447,1,57,209,3
"Croydon 014C","E01001186",841,394,8,186,240,13
"Croydon 014D","E01001188",728,372,15,154,173,14
"Croydon 014E","E01001193",583,181,65,301,35,1
"Croydon 015A","E01001004",787,347,30,182,223,5
"Croydon 015B","E01001115",657,247,3,278,106,23
"Croydon 015C","E01001117",1113,398,70,220,411,14
"Croydon 015D","E01001178",505,137,4,143,201,20
"Croydon 015E","E01001181",759,193,67,290,194,15
"Croydon 016A","E01001006",616,291,4,176,139,6
"Croydon 016B","E01001007",605,394,4,71,131,5
"Croydon 016C","E01001177",551,263,2,185,96,5
"Croydon 016D","E01001179",538,360,5,30,141,2
"Croydon 016E","E01001180",609,347,7,42,204,9
"Croydon 017A","E01000980",566,382,2,78,99,5
"Croydon 017B","E01000981",647,476,14,53,93,11
"Croydon 017C","E01000982",684,428,5,72,174,5
"Croydon 017D","E01000983",665,488,6,32,138,1
"Croydon 017E","E01001187",809,438,34,142,186,9
"Croydon 018A","E01000989",628,545,1,23,57,2
"Croydon 018B","E01000991",662,605,2,14,38,3
"Croydon 018C","E01001131",685,512,2,102,64,5
"Croydon 018D","E01001132",607,544,1,24,38,0
"Croydon 018E","E01001134",697,574,0,37,79,7
"Croydon 019A","E01001005",536,305,3,33,191,4
"Croydon 019B","E01001008",538,245,2,186,100,5
"Croydon 019C","E01001009",609,300,27,109,167,6
"Croydon 019D","E01001010",539,233,1,237,64,4
"Croydon 019E","E01001011",755,275,31,175,266,8
"Croydon 020A","E01001012",746,226,1,121,387,11
"Croydon 020B","E01001013",899,183,9,439,254,14
"Croydon 020C","E01001048",949,255,32,150,499,13
"Croydon 020D","E01001110",771,221,21,190,328,11
"Croydon 020E","E01001118",795,281,9,301,188,16
"Croydon 021A","E01000985",515,455,1,25,30,4
"Croydon 021B","E01000986",677,488,21,52,110,6
"Croydon 021C","E01000987",513,465,2,5,37,4
"Croydon 021D","E01000993",616,446,16,47,103,4
"Croydon 022A","E01000975",710,363,1,50,290,6
"Croydon 022B","E01000976",824,357,4,117,335,11
"Croydon 022C","E01000977",918,350,5,229,319,15
"Croydon 022D","E01000978",927,367,3,101,443,13
"Croydon 022E","E01000979",790,386,21,58,318,7
"Croydon 022F","E01000984",822,302,20,245,243,12
"Croydon 023A","E01001044",871,548,1,33,275,14
"Croydon 023B","E01001046",850,441,0,7,393,9
"Croydon 023C","E01001049",505,429,0,9,63,4
"Croydon 023D","E01001050",802,255,3,301,233,10
"Croydon 024A","E01001014",1186,445,53,385,291,12
"Croydon 024B","E01001042",836,267,30,207,322,10
"Croydon 024C","E01001165",676,424,7,58,180,7
"Croydon 024D","E01001166",835,308,7,247,259,14
"Croydon 024E","E01001168",740,492,6,56,183,3
"Croydon 025A","E01001127",574,511,0,41,19,3
"Croydon 025B","E01001128",566,219,3,310,29,5
"Croydon 025C","E01001130",598,94,2,458,38,6
"Croydon 025D","E01001135",631,554,0,17,53,7
"Croydon 026A","E01001062",571,498,1,17,46,9
"Croydon 026B","E01001063",587,505,0,11,69,2
"Croydon 026C","E01001064",613,549,0,13,41,10
"Croydon 026D","E01001129",502,479,3,4,13,3
"Croydon 026E","E01001133",726,631,3,39,35,18
"Croydon 027A","E01001035",834,362,16,63,385,8
"Croydon 027B","E01001043",1202,320,68,246,545,23
"Croydon 027C","E01001045",953,250,80,159,453,11
"Croydon 027D","E01001047",869,350,6,101,403,9
"Croydon 027E","E01001170",989,394,10,187,386,12
"Croydon 028A","E01001167",829,550,9,113,147,10
"Croydon 028B","E01001169",651,289,3,303,46,10
"Croydon 028C","E01001171",681,297,0,249,126,9
"Croydon 028D","E01001172",616,211,2,352,42,9
"Croydon 028E","E01001173",1089,527,45,247,251,19
"Croydon 029A","E01001036",628,474,0,23,125,6
"Croydon 029B","E01001037",624,318,10,129,163,4
"Croydon 029C","E01001038",941,407,29,109,385,11
"Croydon 029D","E01001039",583,483,7,20,67,6
"Croydon 029E","E01001040",763,460,10,62,228,3
"Croydon 030A","E01001051",581,160,0,391,27,3
"Croydon 030B","E01001052",470,158,2,282,23,5
"Croydon 030C","E01001054",594,283,1,266,39,5
"Croydon 030D","E01001056",593,124,2,434,25,8
"Croydon 030E","E01001057",637,71,1,541,21,3
"Croydon 031A","E01001033",694,455,5,53,176,5
"Croydon 031B","E01001034",660,420,15,28,192,5
"Croydon 031C","E01001041",752,348,4,95,299,6
"Croydon 031D","E01001095",584,369,10,34,159,12
"Croydon 031E","E01001100",619,455,8,36,108,12
"Croydon 032A","E01001053",527,303,2,201,18,3
"Croydon 032B","E01001055",585,238,4,301,38,4
"Croydon 032C","E01001077",523,422,8,54,37,2
"Croydon 032D","E01001078",513,248,6,224,31,4
"Croydon 032E","E01001082",560,293,3,232,28,4
"Croydon 033A","E01001120",480,438,6,3,32,1
"Croydon 033B","E01001122",507,453,0,6,41,7
"Croydon 033C","E01001123",598,562,1,7,24,4
"Croydon 033D","E01001124",609,583,0,4,19,3
"Croydon 033E","E01001125",602,499,0,11,85,7
"Croydon 034A","E01001058",521,450,7,22,39,3
"Croydon 034B","E01001059",692,516,4,22,146,4
"Croydon 034C","E01001060",657,504,8,48,94,3
"Croydon 034D","E01001061",642,414,2,91,130,5
"Croydon 034E","E01001065",672,506,2,15,145,4
"Croydon 034F","E01001066",493,178,4,270,37,4
"Croydon 034G","E01001119",576,524,2,24,23,3
"Croydon 034H","E01001126",598,530,2,18,42,6
"Croydon 035A","E01001032",520,480,0,2,36,2
"Croydon 035B","E01001101",509,482,1,5,17,4
"Croydon 035C","E01001102",605,502,0,43,52,8
"Croydon 035D","E01001107",662,535,1,15,106,5
"Croydon 035E","E01001108",628,588,0,11,22,7
"Croydon 036A","E01001076",581,293,5,190,89,4
"Croydon 036B","E01001079",639,285,6,285,57,6
"Croydon 036C","E01001080",687,125,3,516,35,8
"Croydon 036D","E01001081",506,272,8,190,30,6
"Croydon 037A","E01001073",618,427,0,48,137,6
"Croydon 037B","E01001092",588,451,1,29,97,10
"Croydon 037C","E01001093",694,507,22,50,111,4
"Croydon 037D","E01001096",530,464,0,18,45,3
"Croydon 037E","E01001097",1059,516,44,126,359,14
"Croydon 037F","E01001098",515,473,2,6,31,3
"Croydon 038A","E01001028",528,484,0,8,34,2
"Croydon 038B","E01001029",541,406,0,23,108,4
"Croydon 038C","E01001030",462,424,1,4,31,2
"Croydon 038D","E01001031",491,452,1,1,34,3
"Croydon 038E","E01001094",521,467,0,4,44,6
"Croydon 039A","E01001103",651,581,2,32,36,0
"Croydon 039B","E01001105",632,456,2,139,29,6
"Croydon 039C","E01001106",540,427,1,56,47,9
"Croydon 039D","E01001121",501,467,1,16,16,1
"Croydon 040A","E01001069",500,425,1,29,44,1
"Croydon 040B","E01001070",659,493,2,120,36,8
"Croydon 040C","E01001075",646,466,5,55,112,8
"Croydon 040D","E01001099",586,374,2,129,80,1
"Croydon 041A","E01001015",515,311,6,154,39,5
"Croydon 041B","E01001016",665,551,18,43,45,8
"Croydon 041C","E01001023",575,344,7,51,165,8
"Croydon 041D","E01001067",578,538,3,3,30,4
"Croydon 041E","E01001074",828,431,45,157,189,6
"Croydon 042A","E01001068",784,520,21,153,85,5
"Croydon 042B","E01001071",735,558,17,99,56,5
"Croydon 042C","E01001072",533,501,0,5,24,3
"Croydon 042D","E01001104",642,575,0,25,38,4
"Croydon 043A","E01001017",642,597,1,9,34,1
"Croydon 043B","E01001024",532,467,0,16,46,3
"Croydon 043C","E01001025",489,447,1,14,24,3
"Croydon 043D","E01001026",641,519,3,80,38,1
"Croydon 043E","E01001027",534,460,1,23,46,4
"Croydon 044A","E01001018",639,575,0,19,41,4
"Croydon 044B","E01001019",593,518,0,45,26,4
"Croydon 044C","E01001020",657,570,0,41,34,12
"Croydon 044D","E01001021",590,259,0,290,37,4
"Croydon 044E","E01001022",611,569,0,11,24,7
"Croydon 045A","E01000990",538,186,1,316,31,4
"Croydon 045B","E01001189",465,340,4,66,52,3
"Croydon 045C","E01001190",616,404,4,127,78,3
"Croydon 045D","E01001194",624,444,4,55,118,3
"Croydon 045E","E01032569",660,196,5,401,54,4
"Ealing 001A","E01001269",646,418,4,25,197,2
"Ealing 001B","E01001271",593,397,2,46,142,6
"Ealing 001C","E01001309",614,452,3,22,132,5
"Ealing 001D","E01001310",663,433,28,56,139,7
"Ealing 001E","E01001311",663,294,6,233,120,10
"Ealing 002A","E01001307",633,432,18,10,170,3
"Ealing 002B","E01001308",679,507,7,7,150,8
"Ealing 002C","E01001312",590,370,1,48,166,5
"Ealing 002D","E01001313",516,371,4,19,121,1
"Ealing 002E","E01001314",506,378,1,9,114,4
"Ealing 003A","E01001315",495,317,26,70,79,3
"Ealing 003B","E01001316",620,218,4,272,122,4
"Ealing 003C","E01001317",686,371,10,158,138,9
"Ealing 003D","E01001318",677,275,18,284,85,15
"Ealing 003E","E01001320",534,180,1,289,57,7
"Ealing 003F","E01001321",758,456,30,145,116,11
"Ealing 004A","E01001270",565,427,5,24,104,5
"Ealing 004B","E01001319",490,352,5,42,87,4
"Ealing 004C","E01001322",627,406,3,41,164,13
"Ealing 004D","E01001323",684,391,3,48,230,12
"Ealing 005A","E01001341",529,319,2,16,185,7
"Ealing 005B","E01001342",638,381,2,15,236,4
"Ealing 005C","E01001343",483,359,2,10,107,5
"Ealing 005D","E01001345",501,312,8,61,113,7
"Ealing 006A","E01001265",627,332,4,75,208,8
"Ealing 006B","E01001266",578,412,4,14,136,12
"Ealing 006C","E01001267",814,354,13,252,178,17
"Ealing 006D","E01001272",542,316,8,30,182,6
"Ealing 006E","E01001349",507,260,2,163,79,3
"Ealing 007A","E01001344",880,488,15,130,235,12
"Ealing 007B","E01001346",634,469,5,17,134,9
"Ealing 007C","E01001347",518,361,3,15,126,13
"Ealing 007D","E01001348",626,360,10,26,218,12
"Ealing 008A","E01001257",659,173,3,385,89,9
"Ealing 008B","E01001324",662,298,31,99,229,5
"Ealing 008C","E01001326",674,286,16,237,126,9
"Ealing 008D","E01001330",636,199,5,317,106,9
"Ealing 008E","E01001332",579,168,27,270,100,14
"Ealing 009A","E01001325",602,361,2,176,52,11
"Ealing 009B","E01001327",600,321,8,165,97,9
"Ealing 009C","E01001328",620,256,4,239,107,14
"Ealing 009D","E01001329",631,350,5,150,119,7
"Ealing 009E","E01001331",618,177,3,285,143,10
"Ealing 010B","E01001258",634,421,8,69,132,4
"Ealing 010C","E01001262",558,283,4,186,77,8
"Ealing 010D","E01001263",647,300,2,220,121,4
"Ealing 010E","E01001264",612,380,5,132,93,2
"Ealing 010F","E01032743",818,199,98,216,294,11
"Ealing 010G","E01032744",486,211,7,89,166,13
"Ealing 011A","E01001276",651,334,7,16,286,8
"Ealing 011B","E01001277",668,325,4,27,293,19
"Ealing 011C","E01001278",801,355,15,41,379,11
"Ealing 011D","E01001280",782,373,60,20,318,11
"Ealing 012A","E01001218",692,253,4,263,158,14
"Ealing 012B","E01001260",660,427,7,43,176,7
"Ealing 012C","E01001261",758,295,70,114,263,16
"Ealing 012D","E01001268",629,495,1,18,105,10
"Ealing 013A","E01001209",647,511,0,7,122,7
"Ealing 013B","E01001211",705,384,30,79,208,4
"Ealing 013C","E01001279",564,474,1,7,79,3
"Ealing 013D","E01001281",625,475,1,11,132,6
"Ealing 014A","E01001217",455,350,3,13,84,5
"Ealing 014B","E01001259",510,325,9,29,140,7
"Ealing 014C","E01001291",495,345,5,29,111,5
"Ealing 014D","E01001292",504,375,4,13,103,9
"Ealing 014E","E01001293",478,318,2,39,113,6
"Ealing 015A","E01001196",762,238,15,299,187,23
"Ealing 015B","E01001238",1236,266,154,237,562,17
"Ealing 015C","E01001239",553,165,40,183,156,9
"Ealing 015D","E01001246",492,224,5,113,150,0
"Ealing 015E","E01001247",674,324,5,56,276,13
"Ealing 016A","E01001210",740,191,13,410,101,25
"Ealing 016B","E01001282",627,239,7,291,71,19
"Ealing 016C","E01001283",712,296,2,319,86,9
"Ealing 016D","E01001285",562,320,5,141,93,3
"Ealing 016E","E01001286",620,351,4,154,107,4
"Ealing 016F","E01001287",483,186,0,226,64,7
"Ealing 017A","E01001294",538,382,5,24,119,8
"Ealing 017B","E01001295",521,397,1,17,97,9
"Ealing 017C","E01001296",404,282,3,50,65,4
"Ealing 017D","E01001297",495,317,1,51,123,3
"Ealing 017E","E01001298",529,335,0,65,113,16
"Ealing 018A","E01001204",585,398,3,75,105,4
"Ealing 018B","E01001205",598,240,2,191,158,7
"Ealing 018C","E01001206",582,135,2,350,82,13
"Ealing 018D","E01001207",668,364,8,65,222,9
"Ealing 018E","E01001208",498,413,4,29,47,5
"Ealing 018F","E01001212",691,463,2,23,196,7
"Ealing 019A","E01001222",1150,334,67,149,586,14
"Ealing 019B","E01001224",570,408,3,26,126,7
"Ealing 019C","E01001226",668,306,1,61,287,13
"Ealing 019D","E01001227",602,375,8,42,170,7
"Ealing 019E","E01001228",792,354,8,71,350,9
"Ealing 020A","E01001221",952,252,22,138,526,14
"Ealing 020B","E01001223",643,302,2,53,277,9
"Ealing 020C","E01001225",807,349,0,143,300,15
"Ealing 020D","E01001235",691,285,1,26,372,7
"Ealing 020E","E01001236",741,279,0,120,335,7
"Ealing 020F","E01001273",597,371,1,10,202,13
"Ealing 020G","E01001274",585,288,2,45,238,12
"Ealing 020H","E01001275",857,327,1,111,408,10
"Ealing 021A","E01001195",598,357,1,20,214,6
"Ealing 021B","E01001197",668,252,14,127,260,15
"Ealing 021C","E01001198",584,293,1,76,211,3
"Ealing 021D","E01001199",694,245,12,189,242,6
"Ealing 022A","E01001284",538,432,2,23,78,3
"Ealing 022B","E01001288",531,335,5,52,135,4
"Ealing 022C","E01001289",476,329,3,41,101,2
"Ealing 022D","E01001290",738,366,5,86,270,11
"Ealing 023A","E01001213",503,314,1,80,98,10
"Ealing 023B","E01001214",477,336,1,30,101,9
"Ealing 023C","E01001215",552,283,2,116,139,12
"Ealing 023D","E01001216",476,292,11,52,112,9
"Ealing 023E","E01001361",460,179,10,117,143,11
"Ealing 024A","E01001240",512,227,6,107,163,9
"Ealing 024B","E01001241",503,247,2,69,177,8
"Ealing 024C","E01001242",524,224,2,151,137,10
"Ealing 024D","E01001243",649,212,40,221,167,9
"Ealing 024E","E01001244",1099,333,50,323,373,20
"Ealing 024F","E01001245",823,316,149,100,248,10
"Ealing 025A","E01001200",586,337,0,59,187,3
"Ealing 025B","E01001201",642,330,3,114,183,12
"Ealing 025C","E01001202",871,229,18,284,329,11
"Ealing 025D","E01001203",861,245,7,292,307,10
"Ealing 025E","E01001351",811,259,25,195,320,12
"Ealing 026A","E01001359",562,318,2,75,152,15
"Ealing 026B","E01001360",505,339,5,24,123,14
"Ealing 026C","E01001362",511,291,5,69,138,8
"Ealing 026D","E01001363",471,277,17,57,116,4
"Ealing 026E","E01001364",516,196,19,215,66,20
"Ealing 026F","E01001365",590,373,7,37,161,12
"Ealing 027A","E01001231",696,419,17,40,203,17
"Ealing 027B","E01001234",640,241,1,76,318,4
"Ealing 027C","E01001350",621,297,6,88,225,5
"Ealing 027D","E01001352",571,252,6,67,239,7
"Ealing 027E","E01001354",677,341,7,53,266,10
"Ealing 028A","E01001249",1025,182,39,467,321,16
"Ealing 028B","E01001250",983,334,30,285,309,25
"Ealing 028C","E01001255",608,439,2,44,117,6
"Ealing 028D","E01001383",662,429,2,41,187,3
"Ealing 028E","E01001388",743,229,38,315,151,10
"Ealing 028F","E01001389",726,331,4,103,271,17
"Ealing 029A","E01001219",674,194,24,363,84,9
"Ealing 029B","E01001220",471,91,2,305,51,22
"Ealing 029C","E01001334",522,165,5,277,66,9
"Ealing 029D","E01001337",452,203,5,187,53,4
"Ealing 029E","E01001338",518,297,3,98,112,8
"Ealing 029F","E01001339",568,180,59,267,54,8
"Ealing 029G","E01001340",506,102,55,231,114,4
"Ealing 030A","E01001251",659,435,6,34,174,10
"Ealing 030B","E01001252",768,319,6,113,320,10
"Ealing 030C","E01001253",670,402,5,66,187,10
"Ealing 030D","E01001254",750,437,52,115,142,4
"Ealing 031A","E01001229",597,269,2,219,98,9
"Ealing 031B","E01001230",629,334,2,47,232,14
