
"KS403EW - Rooms, bedrooms and central heating"
"ONS Crown Copyright Reserved [from Nomis on 25 January 2017]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 super output area - lower layer","mnemonic","All categories: Type of central heating in household","Does not have central heating","Does have central heating","Occupancy rating (rooms) of -1 or less","Occupancy rating (bedrooms) of -1 or less","Average household size","Average number of rooms per household","Average number of bedrooms per household"
"Bromley 021D","E01000831",789,20,769,56,14,2.1,5.5,2.7
"Bromley 021E","E01000833",497,2,495,3,3,2.9,6.9,3.6
"Bromley 022A","E01000650",750,1,749,53,16,2.5,6.8,3.4
"Bromley 022B","E01000652",659,5,654,12,14,2.5,6.3,3.2
"Bromley 022C","E01000807",595,17,578,23,16,2.6,6.2,3.2
"Bromley 022D","E01000809",629,5,624,9,8,2.4,5.9,3.0
"Bromley 023A","E01000722",704,21,683,39,36,2.3,5.0,2.5
"Bromley 023B","E01000725",775,23,752,89,38,2.1,4.4,2.2
"Bromley 023C","E01000731",532,13,519,55,38,2.6,5.1,2.7
"Bromley 023D","E01000732",587,5,582,31,24,2.5,6.0,3.0
"Bromley 023E","E01000733",651,19,632,46,30,2.4,5.3,2.7
"Bromley 024A","E01000769",454,4,450,14,19,2.9,6.3,3.4
"Bromley 024B","E01000773",605,16,589,13,8,2.5,5.8,3.0
"Bromley 024C","E01000775",867,8,859,31,17,2.6,6.2,3.1
"Bromley 024D","E01000777",565,17,548,25,16,2.8,6.2,3.2
"Bromley 024E","E01000778",618,11,607,32,22,2.6,5.5,2.9
"Bromley 025A","E01000808",625,3,622,16,11,2.6,6.3,3.3
"Bromley 025B","E01000810",599,4,595,6,8,2.5,6.6,3.4
"Bromley 025C","E01000811",571,14,557,22,13,2.3,5.5,2.7
"Bromley 025D","E01000813",637,9,628,6,7,2.5,5.9,3.1
"Bromley 025E","E01000815",562,3,559,1,7,2.7,7.2,3.7
"Bromley 026A","E01000661",671,21,650,95,62,2.4,4.7,2.4
"Bromley 026B","E01000662",680,8,672,44,31,2.6,5.6,3.0
"Bromley 026C","E01000663",660,9,651,54,26,2.5,5.3,2.7
"Bromley 026D","E01000664",612,10,602,43,33,2.6,5.8,3.1
"Bromley 027A","E01000763",523,4,519,8,10,2.8,6.6,3.3
"Bromley 027B","E01000764",633,15,618,21,21,2.6,5.9,3.0
"Bromley 027C","E01000766",645,5,640,7,8,2.7,6.4,3.3
"Bromley 027D","E01000767",598,2,596,15,4,2.8,6.4,3.2
"Bromley 027E","E01000834",461,6,455,6,4,2.9,6.3,3.3
"Bromley 028A","E01000727",687,18,669,45,24,2.3,5.2,2.6
"Bromley 028B","E01000734",507,13,494,20,16,2.7,6.0,3.1
"Bromley 028C","E01000790",872,51,821,149,36,2.3,5.1,2.7
"Bromley 028D","E01000812",663,11,652,28,20,2.2,6.1,3.0
"Bromley 028E","E01000814",564,5,559,7,8,2.7,7.4,3.7
"Bromley 029A","E01000723",561,5,556,18,8,2.2,5.3,2.8
"Bromley 029B","E01000726",590,8,582,33,21,2.2,5.0,2.6
"Bromley 029C","E01000787",667,23,644,30,26,2.1,4.9,2.4
"Bromley 029D","E01000788",618,22,596,44,30,2.5,5.5,2.9
"Bromley 029E","E01000791",621,4,617,18,10,2.3,5.6,2.9
"Bromley 030A","E01000832",572,4,568,57,10,2.6,6.3,3.2
"Bromley 030B","E01000835",648,15,633,40,22,2.5,5.7,2.9
"Bromley 030C","E01000836",500,9,491,8,5,2.8,6.3,3.4
"Bromley 030D","E01000837",647,9,638,35,25,2.3,5.6,2.7
"Bromley 030E","E01000838",548,6,542,10,8,2.6,6.3,3.2
"Bromley 030F","E01000839",550,5,545,17,11,2.7,6.5,3.4
"Bromley 030G","E01000840",685,4,681,73,6,2.3,5.8,2.9
"Bromley 030H","E01000841",606,6,600,26,12,2.6,6.3,3.2
"Bromley 031A","E01000753",750,8,742,15,11,2.4,6.2,3.2
"Bromley 031B","E01000754",743,18,725,37,18,2.3,5.4,2.8
"Bromley 031C","E01000755",615,4,611,11,6,2.4,6.1,3.1
"Bromley 031D","E01000757",601,6,595,6,2,2.5,6.5,3.4
"Bromley 031E","E01000758",591,3,588,35,8,2.5,6.0,3.1
"Bromley 032A","E01000786",627,1,626,15,11,2.3,6.2,3.2
"Bromley 032B","E01000789",657,13,644,101,69,2.7,4.6,2.4
"Bromley 032C","E01000792",483,2,481,22,16,2.4,5.7,3.0
"Bromley 032D","E01000793",643,4,639,6,7,2.5,6.5,3.3
"Bromley 032E","E01000795",542,9,533,20,20,2.6,5.8,3.0
"Bromley 033A","E01000665",757,12,745,32,22,2.4,5.7,2.9
"Bromley 033B","E01000666",776,13,763,13,9,2.3,6.8,3.3
"Bromley 033C","E01000667",622,5,617,11,8,2.6,7.4,3.6
"Bromley 033D","E01000756",594,11,583,6,3,2.6,7.3,3.6
"Bromley 034A","E01000759",549,6,543,8,13,2.8,6.3,3.2
"Bromley 034B","E01000760",550,13,537,34,15,2.6,5.9,3.0
"Bromley 034C","E01000761",577,11,566,10,6,2.7,6.1,3.0
"Bromley 034D","E01000765",679,11,668,33,17,2.5,5.9,3.0
"Bromley 034E","E01000768",613,4,609,51,14,2.5,5.9,3.0
"Bromley 035A","E01000681",654,5,649,9,11,2.6,5.9,3.2
"Bromley 035B","E01000682",642,7,635,13,10,2.4,5.7,3.0
"Bromley 035C","E01000683",705,29,676,39,20,2.2,5.1,2.6
"Bromley 035D","E01000684",757,7,750,13,9,2.7,6.4,3.3
"Bromley 035E","E01000794",611,2,609,7,8,2.5,6.4,3.2
"Bromley 036A","E01000749",639,5,634,15,10,2.5,6.1,3.1
"Bromley 036B","E01000750",665,4,661,93,36,2.2,4.9,2.5
"Bromley 036C","E01000751",807,11,796,64,32,2.4,5.5,2.8
"Bromley 036D","E01000752",778,13,765,28,18,2.1,5.5,2.7
"Bromley 037A","E01000680",646,11,635,11,10,2.5,7.2,3.5
"Bromley 037B","E01000685",618,4,614,17,15,2.5,6.0,3.1
"Bromley 037C","E01000686",648,5,643,34,16,2.3,5.8,3.0
"Bromley 037D","E01000687",656,21,635,22,14,2.4,5.9,3.0
"Bromley 037E","E01000688",504,5,499,4,5,2.7,7.2,3.5
"Bromley 039A","E01000654",486,5,481,12,5,2.6,5.6,3.1
"Bromley 039B","E01000655",494,0,494,12,9,2.7,5.7,3.1
"Bromley 039C","E01000656",517,5,512,15,10,2.7,6.2,3.4
"Bromley 039D","E01000657",674,4,670,48,16,2.4,5.2,2.7
"Bromley 039E","E01000659",520,0,520,14,9,2.8,6.1,3.3
"Bromley 040A","E01000816",592,8,584,31,23,2.5,5.6,3.0
"Bromley 040B","E01000818",568,11,557,15,9,2.6,6.1,3.2
"Bromley 040C","E01000819",740,21,719,106,50,2.3,4.7,2.4
"Bromley 040D","E01032562",623,10,613,94,73,2.4,4.7,2.4
"Bromley 040E","E01032563",568,7,561,19,12,2.5,6.7,3.5
"Bromley 041A","E01000707",536,11,525,8,3,2.7,5.9,3.1
"Bromley 041B","E01000708",650,14,636,36,18,2.4,5.6,2.8
"Bromley 041C","E01000771",620,11,609,21,12,2.6,6.5,3.3
"Bromley 041D","E01000774",581,6,575,30,19,2.5,5.7,2.9
"Bromley 041E","E01032568",647,20,627,84,39,2.3,4.9,2.5
"Bromley 042A","E01000658",550,2,548,15,11,2.5,6.1,3.2
"Bromley 042B","E01000747",773,14,759,39,20,2.5,5.9,3.0
"Bromley 042C","E01000748",670,25,645,14,13,2.4,6.5,3.2
"Bromley 042D","E01032570",669,3,666,25,15,2.3,5.7,3.0
"Croydon 001A","E01001137",875,21,854,154,77,2.0,4.3,2.1
"Croydon 001B","E01001138",774,18,756,126,60,2.0,4.3,2.1
"Croydon 001C","E01001156",721,10,711,165,83,2.3,4.4,2.3
"Croydon 001D","E01001162",767,22,745,146,73,2.2,4.3,2.2
"Croydon 001E","E01001164",962,39,923,253,99,2.0,3.8,1.9
"Croydon 002A","E01001084",665,19,646,47,43,2.7,6.3,3.3
"Croydon 002B","E01001157",615,17,598,72,52,2.8,5.5,2.9
"Croydon 002C","E01001159",741,14,727,95,56,2.4,5.3,2.8
"Croydon 002D","E01001160",627,8,619,53,36,3.0,6.1,3.3
"Croydon 002E","E01001163",798,28,770,95,46,2.4,5.0,2.6
"Croydon 003A","E01001083",536,13,523,44,30,3.0,6.3,3.5
"Croydon 003B","E01001086",603,17,586,60,48,2.9,6.0,3.2
"Croydon 003C","E01001087",848,29,819,222,100,2.6,4.9,2.6
"Croydon 003D","E01001161",566,6,560,123,83,3.3,5.6,3.2
"Croydon 004A","E01001085",612,27,585,95,63,2.6,5.1,2.7
"Croydon 004B","E01001088",592,14,578,80,65,2.9,5.4,2.8
"Croydon 004C","E01001089",715,28,687,140,87,2.6,4.8,2.5
"Croydon 004D","E01001090",922,28,894,239,135,2.5,4.5,2.3
"Croydon 004E","E01001091",562,10,552,51,45,2.8,6.2,3.4
"Croydon 005A","E01001147",620,20,600,144,86,2.6,4.5,2.4
"Croydon 005B","E01001148",673,38,635,102,72,2.4,4.8,2.4
"Croydon 005C","E01001151",671,23,648,162,85,2.3,4.3,2.2
"Croydon 005D","E01001152",674,29,645,162,112,2.5,4.4,2.3
"Croydon 005E","E01001158",700,29,671,106,65,2.2,4.5,2.3
"Croydon 006A","E01001146",607,32,575,88,72,2.7,5.2,2.7
"Croydon 006B","E01001149",619,14,605,87,64,2.5,5.0,2.6
"Croydon 006C","E01001150",620,19,601,86,52,2.7,5.2,2.8
"Croydon 006D","E01001153",591,17,574,88,71,2.7,5.3,2.8
"Croydon 006E","E01001154",735,28,707,167,109,2.7,4.7,2.5
"Croydon 007A","E01001136",927,71,856,295,133,2.0,3.9,1.8
"Croydon 007B","E01001139",694,30,664,125,60,2.3,4.9,2.5
"Croydon 007C","E01001140",773,42,731,142,91,2.0,4.2,2.1
"Croydon 007D","E01001142",620,17,603,92,45,2.5,5.3,2.7
"Croydon 007E","E01001144",797,40,757,239,104,2.1,4.1,2.0
"Croydon 008A","E01001141",568,19,549,118,67,2.2,4.3,2.1
"Croydon 008B","E01001143",848,28,820,198,86,2.3,4.3,2.2
"Croydon 008C","E01001145",848,55,793,277,146,2.0,3.6,1.7
"Croydon 008D","E01001191",823,56,767,297,116,2.1,3.9,2.0
"Croydon 008E","E01001192",727,29,698,161,96,2.3,4.3,2.1
"Croydon 009A","E01000994",536,11,525,86,64,3.0,5.3,2.8
"Croydon 009B","E01000995",597,30,567,135,90,2.7,4.9,2.6
"Croydon 009C","E01000996",443,14,429,55,46,2.8,5.3,2.8
"Croydon 009D","E01000997",471,14,457,66,49,2.9,5.2,2.8
"Croydon 009E","E01000999",436,21,415,60,59,3.1,5.7,2.9
"Croydon 009F","E01001002",498,18,480,87,69,2.7,5.0,2.6
"Croydon 010A","E01000998",629,18,611,193,113,2.5,4.5,2.3
"Croydon 010B","E01001000",454,10,444,122,81,2.8,4.8,2.5
"Croydon 010C","E01001003",608,33,575,139,90,2.5,4.5,2.4
"Croydon 010D","E01001111",610,23,587,119,81,2.6,4.7,2.4
"Croydon 010E","E01001155",761,22,739,217,117,2.1,3.9,1.9
"Croydon 011A","E01001174",523,15,508,60,60,3.1,5.6,3.1
"Croydon 011B","E01001175",527,19,508,103,80,2.7,5.0,2.6
"Croydon 011C","E01001176",628,15,613,160,92,3.0,4.9,2.7
"Croydon 011D","E01001182",462,17,445,82,69,3.1,5.5,3.0
"Croydon 011E","E01001183",550,15,535,148,77,2.9,5.0,2.7
"Croydon 011F","E01001184",456,16,440,56,34,3.0,5.7,3.2
"Croydon 013A","E01001001",493,24,469,140,83,2.4,4.4,2.2
"Croydon 013B","E01001109",845,36,809,180,121,2.3,4.3,2.2
"Croydon 013C","E01001112",763,17,746,195,119,2.2,4.1,2.0
"Croydon 013D","E01001113",795,24,771,224,147,2.3,4.2,2.1
"Croydon 013E","E01001114",585,18,567,174,104,2.4,4.2,2.1
"Croydon 013F","E01001116",528,15,513,99,76,2.6,4.7,2.3
"Croydon 014A","E01000992",723,20,703,111,78,2.7,5.1,2.7
"Croydon 014B","E01001185",717,31,686,134,65,2.3,4.5,2.2
"Croydon 014C","E01001186",841,39,802,193,88,2.1,4.1,2.1
"Croydon 014D","E01001188",728,23,705,139,93,2.5,4.6,2.4
"Croydon 014E","E01001193",583,8,575,155,105,3.1,4.8,2.7
"Croydon 015A","E01001004",787,16,771,198,112,2.7,4.5,2.4
"Croydon 015B","E01001115",657,17,640,131,100,2.6,4.6,2.4
"Croydon 015C","E01001117",1113,40,1073,451,196,2.4,3.8,2.0
"Croydon 015D","E01001178",505,17,488,197,124,2.7,4.1,2.2
"Croydon 015E","E01001181",759,28,731,305,157,2.4,3.8,2.0
"Croydon 016A","E01001006",616,8,608,130,87,2.5,4.3,2.2
"Croydon 016B","E01001007",605,20,585,120,91,3.3,5.3,2.9
"Croydon 016C","E01001177",551,19,532,118,91,2.9,4.9,2.6
"Croydon 016D","E01001179",538,35,503,83,66,2.9,5.0,2.6
"Croydon 016E","E01001180",609,39,570,142,122,2.9,5.0,2.4
"Croydon 017A","E01000980",566,25,541,54,39,2.5,5.0,2.5
"Croydon 017B","E01000981",647,24,623,53,40,2.5,5.2,2.6
"Croydon 017C","E01000982",684,24,660,80,65,2.3,4.7,2.3
"Croydon 017D","E01000983",665,30,635,52,45,2.6,5.4,2.8
"Croydon 017E","E01001187",809,56,753,184,95,2.4,4.5,2.4
"Croydon 018A","E01000989",628,6,622,27,19,2.7,5.8,3.1
"Croydon 018B","E01000991",662,6,656,29,22,2.5,6.0,3.1
"Croydon 018C","E01001131",685,12,673,49,25,2.3,4.9,2.7
"Croydon 018D","E01001132",607,9,598,26,17,2.4,6.1,3.1
"Croydon 018E","E01001134",697,19,678,88,28,2.3,5.3,2.7
"Croydon 019A","E01001005",536,13,523,142,118,3.1,4.8,2.5
"Croydon 019B","E01001008",538,13,525,106,88,3.0,4.9,2.6
"Croydon 019C","E01001009",609,23,586,157,131,3.0,4.8,2.5
"Croydon 019D","E01001010",539,19,520,103,80,2.8,4.8,2.6
"Croydon 019E","E01001011",755,19,736,272,151,2.5,3.9,2.0
"Croydon 020A","E01001012",746,26,720,327,173,2.5,4.0,2.1
"Croydon 020B","E01001013",899,24,875,329,194,2.2,3.8,1.9
"Croydon 020C","E01001048",949,32,917,320,172,2.0,3.5,1.7
"Croydon 020D","E01001110",771,45,726,252,151,2.3,4.0,2.0
"Croydon 020E","E01001118",795,17,778,215,124,2.4,4.2,2.1
"Croydon 021A","E01000985",515,4,511,23,23,2.8,6.5,3.4
"Croydon 021B","E01000986",677,8,669,71,45,2.5,6.1,3.1
"Croydon 021C","E01000987",513,13,500,21,28,2.8,6.2,3.2
"Croydon 021D","E01000993",616,16,600,61,33,2.6,5.5,2.9
"Croydon 022A","E01000975",710,29,681,143,89,2.3,4.6,2.3
"Croydon 022B","E01000976",824,45,779,216,121,2.3,4.2,2.1
"Croydon 022C","E01000977",918,31,887,235,97,1.8,3.7,1.8
"Croydon 022D","E01000978",927,56,871,256,120,1.9,3.8,1.8
"Croydon 022E","E01000979",790,48,742,165,69,2.2,4.4,2.2
"Croydon 022F","E01000984",822,22,800,206,87,2.2,4.2,2.2
"Croydon 023A","E01001044",871,37,834,97,47,2.2,5.1,2.7
"Croydon 023B","E01001046",850,32,818,109,74,2.1,4.4,2.2
"Croydon 023C","E01001049",505,2,503,22,16,2.8,7.6,4.0
"Croydon 023D","E01001050",802,20,782,142,62,2.0,4.1,2.0
"Croydon 024A","E01001014",1186,49,1137,349,170,2.2,3.9,2.0
"Croydon 024B","E01001042",836,34,802,203,93,2.2,4.1,2.0
"Croydon 024C","E01001165",676,22,654,109,54,2.4,5.0,2.6
"Croydon 024D","E01001166",835,23,812,210,117,2.2,4.1,2.0
"Croydon 024E","E01001168",740,36,704,106,52,2.3,4.7,2.4
"Croydon 025A","E01001127",574,8,566,32,24,2.8,6.1,3.1
"Croydon 025B","E01001128",566,13,553,105,79,2.8,4.8,2.6
"Croydon 025C","E01001130",598,14,584,164,123,3.0,4.4,2.4
"Croydon 025D","E01001135",631,10,621,27,25,2.6,6.1,3.1
"Croydon 026A","E01001062",571,2,569,16,16,2.7,7.0,3.6
"Croydon 026B","E01001063",587,10,577,23,23,2.6,6.1,3.1
"Croydon 026C","E01001064",613,3,610,14,15,2.6,7.0,3.5
"Croydon 026D","E01001129",502,2,500,7,14,2.9,6.6,3.3
"Croydon 026E","E01001133",726,11,715,25,12,2.1,5.6,2.7
"Croydon 027A","E01001035",834,21,813,205,82,2.0,3.9,1.9
"Croydon 027B","E01001043",1202,56,1146,465,169,2.1,3.6,1.9
"Croydon 027C","E01001045",953,38,915,351,101,1.8,3.4,1.7
"Croydon 027D","E01001047",869,43,826,229,99,1.9,3.9,1.9
"Croydon 027E","E01001170",989,46,943,234,131,2.0,3.8,1.8
"Croydon 028A","E01001167",829,21,808,119,77,2.6,5.2,2.8
"Croydon 028B","E01001169",651,16,635,116,75,2.6,4.8,2.6
"Croydon 028C","E01001171",681,10,671,145,89,2.2,4.4,2.2
"Croydon 028D","E01001172",616,10,606,128,85,2.8,4.8,2.6
"Croydon 028E","E01001173",1089,21,1068,178,87,2.3,4.7,2.5
"Croydon 029A","E01001036",628,13,615,60,23,2.3,6.3,3.2
"Croydon 029B","E01001037",624,36,588,98,72,2.2,4.5,2.2
"Croydon 029C","E01001038",941,49,892,232,70,1.9,3.9,1.9
"Croydon 029D","E01001039",583,4,579,37,15,2.5,6.4,3.3
"Croydon 029E","E01001040",763,27,736,121,68,2.2,4.7,2.2
"Croydon 030A","E01001051",581,6,575,115,70,2.7,4.5,2.4
"Croydon 030B","E01001052",470,7,463,78,67,3.1,5.1,2.9
"Croydon 030C","E01001054",594,15,579,86,72,2.9,5.1,2.8
"Croydon 030D","E01001056",593,13,580,137,93,3.1,4.7,2.6
"Croydon 030E","E01001057",637,6,631,173,134,2.8,4.3,2.2
"Croydon 031A","E01001033",694,32,662,105,42,2.3,5.0,2.5
"Croydon 031B","E01001034",660,17,643,123,59,2.3,4.9,2.5
"Croydon 031C","E01001041",752,45,707,166,66,2.1,4.3,2.2
"Croydon 031D","E01001095",584,16,568,97,50,2.5,4.9,2.5
"Croydon 031E","E01001100",619,20,599,64,30,2.4,5.5,2.8
"Croydon 032A","E01001053",527,19,508,53,49,2.9,5.3,2.8
"Croydon 032B","E01001055",585,21,564,77,53,2.7,5.0,2.6
"Croydon 032C","E01001077",523,15,508,35,25,2.7,5.2,2.8
"Croydon 032D","E01001078",513,10,503,57,46,2.7,5.0,2.7
"Croydon 032E","E01001082",560,12,548,71,59,2.9,5.1,2.8
"Croydon 033A","E01001120",480,16,464,12,14,2.6,6.0,3.2
"Croydon 033B","E01001122",507,10,497,11,8,2.7,7.0,3.6
"Croydon 033C","E01001123",598,7,591,10,8,2.5,6.2,3.2
"Croydon 033D","E01001124",609,3,606,7,7,2.5,7.0,3.7
"Croydon 033E","E01001125",602,8,594,35,26,2.7,6.1,3.2
"Croydon 034A","E01001058",521,1,520,22,11,2.5,5.5,3.1
"Croydon 034B","E01001059",692,11,681,56,33,2.0,4.5,2.3
"Croydon 034C","E01001060",657,12,645,57,29,2.4,5.0,2.6
"Croydon 034D","E01001061",642,17,625,71,51,2.4,4.8,2.4
"Croydon 034E","E01001065",672,23,649,43,26,2.0,4.6,2.2
"Croydon 034F","E01001066",493,8,485,76,64,2.8,5.0,2.6
"Croydon 034G","E01001119",576,2,574,20,18,2.6,5.6,3.0
"Croydon 034H","E01001126",598,12,586,14,19,2.3,5.4,2.8
"Croydon 035A","E01001032",520,0,520,9,15,2.6,7.1,3.7
"Croydon 035B","E01001101",509,0,509,6,9,2.8,6.8,3.4
"Croydon 035C","E01001102",605,8,597,19,14,2.4,6.4,3.2
"Croydon 035D","E01001107",662,24,638,28,15,2.4,6.5,3.3
"Croydon 035E","E01001108",628,4,624,14,10,2.7,6.9,3.5
"Croydon 036A","E01001076",581,15,566,68,51,2.8,5.0,2.7
"Croydon 036B","E01001079",639,18,621,103,65,2.6,4.7,2.5
"Croydon 036C","E01001080",687,11,676,158,102,2.4,4.1,2.0
"Croydon 036D","E01001081",506,15,491,57,45,2.8,5.0,2.8
"Croydon 037A","E01001073",618,18,600,93,38,2.3,5.2,2.6
"Croydon 037B","E01001092",588,5,583,43,20,2.6,6.8,3.5
"Croydon 037C","E01001093",694,9,685,69,35,2.5,5.6,2.8
"Croydon 037D","E01001096",530,1,529,19,12,2.9,7.0,3.7
"Croydon 037E","E01001097",1059,34,1025,206,83,2.0,4.3,2.1
"Croydon 037F","E01001098",515,4,511,3,8,2.8,7.2,3.7
"Croydon 038A","E01001028",528,2,526,12,12,3.0,8.0,4.1
"Croydon 038B","E01001029",541,4,537,63,21,2.7,6.9,3.6
"Croydon 038C","E01001030",462,1,461,12,9,3.0,7.3,3.8
"Croydon 038D","E01001031",491,5,486,13,19,3.0,7.5,3.8
"Croydon 038E","E01001094",521,4,517,14,8,2.9,8.7,4.4
"Croydon 039A","E01001103",651,2,649,15,22,2.6,6.1,3.0
"Croydon 039B","E01001105",632,10,622,40,35,2.7,5.7,3.0
"Croydon 039C","E01001106",540,7,533,28,32,2.8,5.8,2.9
"Croydon 039D","E01001121",501,1,500,9,9,2.6,7.2,3.7
"Croydon 040A","E01001069",500,3,497,16,12,2.6,6.2,3.2
"Croydon 040B","E01001070",659,9,650,32,28,2.6,5.8,3.0
"Croydon 040C","E01001075",646,23,623,68,37,2.3,5.0,2.6
"Croydon 040D","E01001099",586,11,575,53,35,2.5,5.3,2.8
"Croydon 041A","E01001015",515,5,510,44,29,2.8,6.0,3.2
"Croydon 041B","E01001016",665,5,660,23,20,2.6,6.1,3.2
"Croydon 041C","E01001023",575,26,549,94,39,2.2,4.7,2.3
"Croydon 041D","E01001067",578,3,575,9,11,2.8,7.2,3.6
"Croydon 041E","E01001074",828,26,802,99,47,2.3,4.9,2.6
"Croydon 042A","E01001068",784,14,770,59,31,2.5,5.7,2.9
"Croydon 042B","E01001071",735,14,721,49,28,2.6,5.6,2.9
"Croydon 042C","E01001072",533,6,527,10,11,2.7,7.6,3.8
"Croydon 042D","E01001104",642,17,625,23,14,2.6,6.1,3.1
"Croydon 043A","E01001017",642,7,635,11,9,2.5,6.7,3.4
"Croydon 043B","E01001024",532,8,524,24,16,2.7,5.9,3.1
"Croydon 043C","E01001025",489,6,483,16,12,2.7,6.3,3.2
"Croydon 043D","E01001026",641,5,636,22,17,2.7,5.7,3.0
"Croydon 043E","E01001027",534,8,526,21,22,2.9,6.6,3.4
"Croydon 044A","E01001018",639,15,624,12,6,2.4,5.9,3.0
"Croydon 044B","E01001019",593,5,588,12,10,2.5,6.5,3.2
"Croydon 044C","E01001020",657,10,647,30,18,2.5,5.8,3.0
"Croydon 044D","E01001021",590,9,581,55,37,2.3,4.7,2.4
"Croydon 044E","E01001022",611,3,608,11,9,2.4,5.8,3.0
"Croydon 045A","E01000990",538,11,527,77,66,2.6,4.8,2.5
"Croydon 045B","E01001189",465,7,458,42,36,2.6,5.2,2.7
"Croydon 045C","E01001190",616,26,590,69,51,2.6,5.1,2.6
"Croydon 045D","E01001194",624,24,600,58,42,2.5,5.1,2.6
"Croydon 045E","E01032569",660,14,646,142,107,2.6,4.5,2.3
"Ealing 001A","E01001269",646,23,623,135,92,3.1,5.0,2.8
"Ealing 001B","E01001271",593,9,584,105,71,3.0,5.1,2.8
"Ealing 001C","E01001309",614,15,599,106,77,3.0,5.0,2.8
"Ealing 001D","E01001310",663,19,644,138,107,2.7,4.6,2.4
"Ealing 001E","E01001311",663,0,663,174,128,3.0,4.5,2.5
"Ealing 002A","E01001307",633,16,617,126,90,2.9,5.1,2.9
"Ealing 002B","E01001308",679,15,664,107,73,3.0,5.5,3.0
"Ealing 002C","E01001312",590,15,575,121,99,3.1,5.2,2.9
"Ealing 002D","E01001313",516,8,508,86,66,3.3,5.5,3.1
"Ealing 002E","E01001314",506,11,495,87,63,3.1,5.5,3.0
"Ealing 003A","E01001315",495,10,485,106,73,3.0,4.6,2.5
"Ealing 003B","E01001316",620,18,602,201,115,2.6,4.1,2.2
"Ealing 003C","E01001317",686,28,658,159,111,2.7,4.6,2.4
"Ealing 003D","E01001318",677,13,664,169,101,2.6,4.2,2.2
"Ealing 003E","E01001320",534,11,523,134,106,2.9,4.5,2.4
"Ealing 003F","E01001321",758,12,746,124,98,2.7,4.7,2.5
"Ealing 004A","E01001270",565,7,558,92,62,3.0,5.2,2.9
"Ealing 004B","E01001319",490,7,483,86,65,3.1,5.1,2.8
"Ealing 004C","E01001322",627,15,612,134,75,2.7,4.8,2.6
"Ealing 004D","E01001323",684,28,656,177,119,2.5,4.4,2.3
"Ealing 005A","E01001341",529,16,513,125,90,3.2,5.1,2.8
"Ealing 005B","E01001342",638,28,610,177,113,2.9,4.6,2.5
"Ealing 005C","E01001343",483,10,473,75,63,3.1,5.3,3.1
"Ealing 005D","E01001345",501,7,494,130,82,3.4,5.0,2.9
"Ealing 006A","E01001265",627,14,613,141,88,2.7,4.5,2.4
"Ealing 006B","E01001266",578,8,570,87,75,3.2,5.4,3.0
"Ealing 006C","E01001267",814,21,793,178,97,2.4,4.2,2.1
"Ealing 006D","E01001272",542,9,533,139,92,3.0,4.9,2.8
"Ealing 006E","E01001349",507,9,498,95,62,2.8,4.9,2.7
"Ealing 007A","E01001344",880,11,869,198,115,2.5,4.4,2.4
"Ealing 007B","E01001346",634,19,615,102,61,3.0,5.3,3.0
"Ealing 007C","E01001347",518,11,507,95,67,3.0,5.2,3.0
"Ealing 007D","E01001348",626,30,596,109,66,2.6,4.7,2.5
"Ealing 008A","E01001257",659,14,645,209,140,2.7,4.2,2.2
"Ealing 008B","E01001324",662,34,628,174,84,2.3,4.0,2.0
"Ealing 008C","E01001326",674,19,655,163,120,2.6,4.4,2.2
"Ealing 008D","E01001330",636,30,606,216,146,2.5,3.9,2.0
"Ealing 008E","E01001332",579,18,561,161,106,2.6,4.1,2.2
"Ealing 009A","E01001325",602,16,586,113,85,2.9,5.0,2.7
"Ealing 009B","E01001327",600,12,588,118,82,3.0,5.0,2.8
"Ealing 009C","E01001328",620,11,609,162,115,2.8,4.5,2.4
"Ealing 009D","E01001329",631,16,615,116,95,2.8,4.8,2.6
"Ealing 009E","E01001331",618,27,591,213,145,2.7,4.0,2.1
"Ealing 010B","E01001258",634,24,610,117,72,2.7,4.7,2.6
"Ealing 010C","E01001262",558,7,551,117,75,2.7,4.6,2.5
"Ealing 010D","E01001263",647,22,625,134,86,2.6,4.4,2.3
"Ealing 010E","E01001264",612,20,592,123,101,2.7,4.7,2.4
"Ealing 010F","E01032743",818,10,808,334,153,2.7,3.7,2.0
"Ealing 010G","E01032744",486,4,482,140,98,2.8,4.4,2.3
"Ealing 011A","E01001276",651,37,614,209,93,2.7,4.6,2.6
"Ealing 011B","E01001277",668,17,651,140,86,2.8,5.0,2.8
"Ealing 011C","E01001278",801,47,754,189,90,2.4,4.8,2.5
"Ealing 011D","E01001280",782,21,761,123,68,2.2,4.5,2.4
"Ealing 012A","E01001218",692,10,682,223,132,2.8,4.5,2.4
"Ealing 012B","E01001260",660,14,646,122,82,2.9,5.1,2.8
"Ealing 012C","E01001261",758,20,738,224,112,2.8,4.6,2.6
"Ealing 012D","E01001268",629,12,617,72,57,2.8,5.4,2.9
"Ealing 013A","E01001209",647,12,635,46,26,2.6,5.6,3.1
"Ealing 013B","E01001211",705,6,699,123,61,2.3,5.0,2.6
"Ealing 013C","E01001279",564,11,553,20,19,2.6,6.2,3.4
"Ealing 013D","E01001281",625,15,610,48,32,2.5,5.4,2.8
"Ealing 014A","E01001217",455,12,443,75,62,3.4,5.4,3.1
